onset	duration	trial_type	trial_type_err	response_time	accuracy	target_dir	target_pos	correct_resp	resp
25.803	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
26.286	2	Congruent	Congruent	973	1	Left	Down	y	y
41.296	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
42.545	2	Incongruent	Incongruent	1171	1	Right	Up	g	g
49.058	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
55.805	2	Incongruent	Incongruent	1188	1	Right	Up	g	g
63.817	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
66.3	2	Congruent	Congruent	949	1	Right	Down	g	g
69.814	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
70.298	2	Congruent	Congruent	1465	1	Left	Up	y	y
74.312	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
75.045	2	Incongruent	Incongruent	1704	1	Left	Down	y	y
85.057	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
86.79	2	Incongruent	Incongruent	925	1	Right	Up	g	g
90.054	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
91.037	2	Congruent	Congruent	922	1	Left	Up	y	y
96.051	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
101.03	2	Incongruent	Incongruent	1296	1	Right	Down	g	g
104.8	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
116.79	2	Incongruent	Incongruent	1104	1	Right	Up	g	g
122.31	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
122.79	2	Congruent	Congruent	1044	1	Right	Down	g	g
125.8	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
129.28	2	Incongruent	Incongruent	1694	1	Left	Up	y	y
133.8	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
145.79	2	Congruent	Congruent	988	1	Right	Up	g	g
150.81	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
151.29	2	Incongruent	Incongruent	1187	1	Left	Down	y	y
155.8	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
160.79	2	Congruent	Congruent	1038	1	Right	Down	g	g
164.8	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
166.53	2	Congruent	Congruent	1026	1	Right	Down	g	g
169.55	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
170.03	2	Congruent	Congruent	1285	1	Left	Up	y	y
173.79	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
177.28	2	Congruent	Congruent	1029	1	Left	Down	y	y
185.29	0.2	NoCue	CueErr	n/a	n/a	n/a	n/a	n/a	n/a
186.27	2	Congruent	TargetErr	1099	0	Left	Up	y	g
192.79	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
194.02	2	Incongruent	Incongruent	1277	1	Left	Down	y	y
197.53	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
198.02	2	Congruent	Congruent	1093	1	Right	Down	g	g
213.03	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
215.52	2	Incongruent	Incongruent	1099	1	Left	Up	y	y
218.79	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
219.52	2	Incongruent	Incongruent	1617	1	Right	Down	g	g
225.04	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
231.77	2	Incongruent	Incongruent	1094	1	Left	Up	y	y
241.78	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
245.28	2	Incongruent	Incongruent	1357	1	Right	Down	g	g
255.29	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
256.52	2	Congruent	Congruent	1101	1	Left	Down	y	y
264.53	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
267.02	2	Incongruent	Incongruent	1602	1	Left	Down	y	y
270.78	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
271.76	2	Incongruent	Incongruent	1154	1	Right	Up	g	g
274.78	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
275.26	2	Incongruent	Incongruent	1465	1	Left	Up	y	y
279.28	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
286.02	2	Congruent	Congruent	983	1	Right	Up	g	g
289.54	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
290.27	2	Incongruent	Incongruent	1453	1	Right	Down	g	g
295.28	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
307.28	2	Incongruent	Incongruent	1401	1	Left	Down	y	y
313.79	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
315.52	2	Congruent	Congruent	1201	1	Right	Up	g	g
330.53	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
335.53	2	Congruent	Congruent	1532	1	Right	Up	g	g
338.8	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
339.28	2	Congruent	Congruent	1709	1	Left	Down	y	y
344.79	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
345.28	2	Congruent	Congruent	848	1	Left	Up	y	y
