onset	duration	trial_type	trial_type_err	response_time	accuracy	target_dir	target_pos	correct_resp	resp
25.818	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
26.302	2	Congruent	Congruent	703	1	Left	Down	y	y
41.311	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
42.56	2	Incongruent	Incongruent	826	1	Right	Up	g	g
49.074	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
55.82	2	Incongruent	Incongruent	813	1	Right	Up	g	g
63.833	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
66.315	2	Congruent	Congruent	808	1	Right	Down	g	g
69.83	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
70.313	2	Congruent	Congruent	766	1	Left	Up	y	y
74.328	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
75.061	2	Incongruent	Incongruent	1135	1	Left	Down	y	y
85.072	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
86.821	2	Incongruent	Incongruent	755	1	Right	Up	g	g
90.086	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
91.069	2	Congruent	Congruent	800	1	Left	Up	y	y
96.083	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
101.06	2	Incongruent	Incongruent	852	1	Right	Down	g	g
104.83	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
116.82	2	Incongruent	Incongruent	947	1	Right	Up	g	g
122.34	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
122.82	2	Congruent	Congruent	872	1	Right	Down	g	g
125.83	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
129.32	2	Incongruent	Incongruent	1043	1	Left	Up	y	y
133.83	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
145.82	2	Congruent	Congruent	683	1	Right	Up	g	g
150.84	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
151.32	2	Incongruent	Incongruent	925	1	Left	Down	y	y
155.84	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
160.82	2	Congruent	Congruent	687	1	Right	Down	g	g
164.83	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
166.56	2	Congruent	Congruent	666	1	Right	Down	g	g
169.58	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
170.06	2	Congruent	Congruent	685	1	Left	Up	y	y
173.83	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
177.31	2	Congruent	Congruent	745	1	Left	Down	y	y
185.32	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
186.31	2	Congruent	Congruent	1107	1	Left	Up	y	y
192.82	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
194.05	2	Incongruent	Incongruent	956	1	Left	Down	y	y
197.57	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
198.05	2	Congruent	Congruent	741	1	Right	Down	g	g
213.06	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
215.56	2	Incongruent	Incongruent	979	1	Left	Up	y	y
218.82	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
219.56	2	Incongruent	Incongruent	893	1	Right	Down	g	g
225.07	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
231.81	2	Incongruent	Incongruent	979	1	Left	Up	y	y
241.83	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
245.32	2	Incongruent	Incongruent	865	1	Right	Down	g	g
255.34	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
256.57	2	Congruent	Congruent	742	1	Left	Down	y	y
264.58	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
267.06	2	Incongruent	Incongruent	820	1	Left	Down	y	y
270.83	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
271.81	2	Incongruent	Incongruent	799	1	Right	Up	g	g
274.83	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
275.31	2	Incongruent	Incongruent	967	1	Left	Up	y	y
279.32	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
286.06	2	Congruent	Congruent	856	1	Right	Up	g	g
289.57	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
290.3	2	Incongruent	Incongruent	935	1	Right	Down	g	g
295.32	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
307.31	2	Incongruent	Incongruent	1177	1	Left	Down	y	y
313.82	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
315.56	2	Congruent	Congruent	689	1	Right	Up	g	g
330.57	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
335.56	2	Congruent	Congruent	889	1	Right	Up	g	g
338.83	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
339.31	2	Congruent	Congruent	1045	1	Left	Down	y	y
344.83	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
345.31	2	Congruent	Congruent	578	1	Left	Up	y	y
