onset	duration	trial_type	trial_type_err	response_time	accuracy	target_dir	target_pos	correct_resp	resp
25.813	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
26.296	2	Congruent	Congruent	737	1	Left	Up	y	y
41.305	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
42.554	2	Incongruent	Incongruent	1297	1	Right	Down	g	g
49.067	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
55.814	2	Congruent	Congruent	820	1	Left	Down	y	y
63.827	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
66.309	2	Congruent	Congruent	631	1	Right	Up	g	g
69.824	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
70.307	2	Congruent	Congruent	605	1	Left	Up	y	y
74.321	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
75.054	2	Incongruent	Incongruent	1332	1	Left	Down	y	y
85.066	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
86.799	2	Incongruent	Incongruent	901	1	Right	Up	g	g
90.064	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
91.046	2	Congruent	Congruent	799	1	Right	Down	g	g
96.061	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
101.04	2	Incongruent	Incongruent	806	1	Left	Down	y	y
104.81	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
116.8	2	Incongruent	Incongruent	840	1	Left	Up	y	y
122.31	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
122.8	2	Congruent	Congruent	1393	1	Left	Up	y	y
125.81	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
129.29	2	Congruent	Congruent	1059	1	Right	Down	g	g
133.81	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
145.8	2	Incongruent	Incongruent	1041	1	Left	Up	y	y
150.82	0.2	SpatialCue	CueErr	n/a	n/a	n/a	Up	n/a	n/a
151.3	2	Incongruent	TargetErr	0	0	Right	Up	g	
155.83	0.2	SpatialCue	CueErr	n/a	n/a	n/a	Down	n/a	n/a
160.81	2	Congruent	TargetErr	0	0	Left	Down	y	
164.83	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
166.56	2	Congruent	Congruent	842	1	Left	Down	y	y
169.57	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
170.06	2	Congruent	Congruent	585	1	Right	Down	g	g
173.82	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
177.3	2	Incongruent	Incongruent	1114	1	Right	Up	g	g
185.32	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
186.3	2	Incongruent	Incongruent	744	1	Left	Down	y	y
192.81	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
194.04	2	Incongruent	Incongruent	1288	1	Right	Up	g	g
197.56	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
198.04	2	Incongruent	Incongruent	897	1	Right	Down	g	g
213.05	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
215.55	2	Congruent	Congruent	891	1	Left	Down	y	y
218.81	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
219.55	2	Congruent	Congruent	636	1	Left	Up	y	y
225.06	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
231.79	2	Incongruent	Incongruent	866	1	Right	Down	g	g
241.8	0.2	CenterCue	CueErr	n/a	n/a	n/a	n/a	n/a	n/a
245.3	2	Congruent	TargetErr	0	0	Right	Up	g	
255.31	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
256.55	2	Congruent	Congruent	1057	1	Right	Up	g	g
264.56	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
267.04	2	Congruent	Congruent	729	1	Right	Up	g	g
270.81	0.2	SpatialCue	CueErr	n/a	n/a	n/a	Up	n/a	n/a
271.79	2	Incongruent	TargetErr	0	0	Left	Up	y	
274.82	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
275.29	2	Incongruent	Incongruent	631	1	Right	Down	g	g
279.3	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
286.03	2	Congruent	Congruent	668	1	Left	Down	y	y
289.55	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
290.28	2	Incongruent	Incongruent	1006	1	Left	Down	y	y
295.29	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
307.29	2	Incongruent	Incongruent	1199	1	Left	Up	y	y
313.8	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
315.53	2	Incongruent	Incongruent	1476	1	Right	Down	g	g
330.54	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
335.54	2	Congruent	Congruent	1004	1	Right	Up	g	g
338.81	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
339.29	2	Incongruent	Incongruent	1112	1	Left	Up	y	y
344.8	0.2	NoCue	CueErr	n/a	n/a	n/a	n/a	n/a	n/a
345.29	2	Congruent	TargetErr	0	0	Right	Down	g	
