onset	duration	trial_type	trial_type_err	response_time	accuracy	target_dir	target_pos	correct_resp	resp
25.808	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
26.291	2	Congruent	Congruent	772	1	Left	Up	y	y
41.3	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
42.549	2	Incongruent	Incongruent	1166	1	Right	Down	g	g
49.063	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
55.809	2	Congruent	Congruent	894	1	Left	Down	y	y
63.822	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
66.304	2	Congruent	Congruent	930	1	Right	Up	g	g
69.819	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
70.302	2	Congruent	Congruent	870	1	Left	Up	y	y
74.317	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
75.05	2	Incongruent	Incongruent	982	1	Left	Down	y	y
85.061	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
86.81	2	Incongruent	Incongruent	931	1	Right	Up	g	g
90.075	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
91.058	2	Congruent	Congruent	724	1	Right	Down	g	g
96.072	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
101.05	2	Incongruent	Incongruent	854	1	Left	Down	y	y
104.82	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
116.81	2	Incongruent	Incongruent	1016	1	Left	Up	y	y
122.33	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
122.81	2	Congruent	Congruent	687	1	Left	Up	y	y
125.82	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
129.31	2	Congruent	Congruent	857	1	Right	Down	g	g
133.82	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
145.81	2	Incongruent	Incongruent	921	1	Left	Up	y	y
150.83	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
151.31	2	Incongruent	Incongruent	830	1	Right	Up	g	g
155.83	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
160.81	2	Congruent	Congruent	850	1	Left	Down	y	y
164.82	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
166.55	2	Congruent	Congruent	821	1	Left	Down	y	y
169.57	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
170.05	2	Congruent	Congruent	730	1	Right	Down	g	g
173.82	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
177.3	2	Incongruent	Incongruent	807	1	Right	Up	g	g
185.31	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
186.29	2	Incongruent	Incongruent	769	1	Left	Down	y	y
192.81	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
194.04	2	Incongruent	Incongruent	1070	1	Right	Up	g	g
197.56	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
198.04	2	Incongruent	Incongruent	869	1	Right	Down	g	g
213.05	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
215.55	2	Congruent	Congruent	892	1	Left	Down	y	y
218.81	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
219.54	2	Congruent	Congruent	722	1	Left	Up	y	y
225.06	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
231.8	2	Incongruent	Incongruent	1009	1	Right	Down	g	g
241.82	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
245.31	2	Congruent	Congruent	799	1	Right	Up	g	g
255.33	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
256.57	2	Congruent	Congruent	613	1	Right	Up	g	g
264.59	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
267.07	2	Congruent	Congruent	743	1	Right	Up	g	g
270.83	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
271.82	2	Incongruent	Incongruent	901	1	Left	Up	y	y
274.83	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
275.32	2	Incongruent	Incongruent	1012	1	Right	Down	g	g
279.33	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
286.06	2	Congruent	Congruent	721	1	Left	Down	y	y
289.57	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
290.31	2	Incongruent	Incongruent	786	1	Left	Down	y	y
295.32	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
307.32	2	Incongruent	Incongruent	1085	1	Left	Up	y	y
313.83	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
315.56	2	Incongruent	Incongruent	747	1	Right	Down	g	g
330.57	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
335.57	2	Congruent	Congruent	791	1	Right	Up	g	g
338.83	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
339.32	2	Incongruent	Incongruent	840	1	Left	Up	y	y
344.83	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
345.31	2	Congruent	Congruent	682	1	Right	Down	g	g
