onset	duration	trial_type	trial_type_err	response_time	accuracy	target_dir	target_pos	correct_resp	resp
25.817	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
26.3	2	Congruent	Congruent	911	1	Left	Down	y	y
41.309	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
42.558	2	Congruent	Congruent	816	1	Left	Up	y	y
49.072	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
55.818	2	Incongruent	Incongruent	1110	1	Right	Down	g	g
63.831	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
66.313	2	Congruent	Congruent	806	1	Left	Up	y	y
69.828	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
70.311	2	Incongruent	Incongruent	923	1	Right	Down	g	g
74.326	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
75.059	2	Incongruent	Incongruent	872	1	Left	Down	y	y
85.07	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
86.819	2	Incongruent	Incongruent	909	1	Left	Up	y	y
90.084	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
91.067	2	Incongruent	Incongruent	823	1	Right	Up	g	g
96.081	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
101.06	2	Congruent	Congruent	915	1	Left	Down	y	y
104.83	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
116.82	2	Incongruent	Incongruent	960	1	Left	Down	y	y
122.33	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
122.82	2	Congruent	Congruent	847	1	Right	Down	g	g
125.83	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
129.31	2	Incongruent	Incongruent	760	1	Left	Up	y	y
133.83	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
145.82	2	Congruent	Congruent	1042	1	Right	Down	g	g
150.84	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
151.32	2	Congruent	Congruent	825	1	Left	Down	y	y
155.84	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
160.81	2	Incongruent	Incongruent	1076	1	Left	Up	y	y
164.83	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
166.56	2	Incongruent	Incongruent	882	1	Right	Down	g	g
169.58	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
170.06	2	Congruent	Congruent	836	1	Right	Up	g	g
173.83	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
177.31	2	Congruent	Congruent	779	1	Right	Up	g	g
185.32	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
186.3	2	Congruent	Congruent	836	1	Left	Down	y	y
192.82	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
194.05	2	Incongruent	Incongruent	901	1	Right	Up	g	g
197.56	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
198.05	2	Congruent	Congruent	723	1	Left	Down	y	y
213.06	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
215.56	2	Incongruent	Incongruent	763	1	Left	Up	y	y
218.82	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
219.55	2	Incongruent	Incongruent	747	1	Right	Down	g	g
225.07	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
231.81	2	Incongruent	Incongruent	847	1	Right	Up	g	g
241.82	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
245.32	2	Incongruent	Incongruent	823	1	Left	Down	y	y
255.34	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
256.57	2	Incongruent	Incongruent	986	1	Left	Up	y	y
264.58	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
267.06	2	Incongruent	Incongruent	702	1	Right	Up	g	g
270.83	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
271.81	2	Congruent	Congruent	1243	1	Right	Down	g	g
274.82	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
275.31	2	Congruent	Congruent	748	1	Right	Up	g	g
279.32	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
286.05	2	Congruent	Congruent	858	1	Left	Up	y	y
289.57	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
290.3	2	Incongruent	Incongruent	889	1	Right	Down	g	g
295.31	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
307.31	2	Congruent	Congruent	819	1	Right	Up	g	g
313.82	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
315.55	2	Congruent	Congruent	718	1	Right	Up	g	g
330.56	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
335.56	2	Incongruent	Incongruent	941	1	Left	Down	y	y
338.83	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
339.31	2	Congruent	Congruent	795	1	Left	Up	y	y
344.82	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
345.31	2	Congruent	Congruent	741	1	Right	Down	g	g
