onset	duration	trial_type	trial_type_err	response_time	accuracy	target_dir	target_pos	correct_resp	resp
25.808	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
26.291	2	Congruent	Congruent	599	1	Left	Down	y	y
41.3	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
42.549	2	Incongruent	Incongruent	939	1	Right	Up	g	g
49.063	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
55.794	2	Incongruent	Incongruent	890	1	Right	Up	g	g
63.806	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
66.304	2	Congruent	Congruent	650	1	Right	Down	g	g
69.819	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
70.302	2	Congruent	Congruent	700	1	Left	Up	y	y
74.317	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
75.05	2	Incongruent	Incongruent	933	1	Left	Down	y	y
85.062	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
86.795	2	Incongruent	Incongruent	754	1	Right	Up	g	g
90.059	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
91.042	2	Congruent	Congruent	747	1	Left	Up	y	y
96.056	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
101.04	2	Incongruent	Incongruent	869	1	Right	Down	g	g
104.8	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
116.8	2	Incongruent	Incongruent	812	1	Right	Up	g	g
122.31	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
122.79	2	Congruent	Congruent	714	1	Right	Down	g	g
125.81	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
129.29	2	Incongruent	Incongruent	825	1	Left	Up	y	y
133.8	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
145.8	2	Congruent	Congruent	796	1	Right	Up	g	g
150.81	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
151.29	2	Incongruent	Incongruent	839	1	Left	Down	y	y
155.81	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
160.79	2	Congruent	Congruent	936	1	Right	Down	g	g
164.81	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
166.54	2	Congruent	Congruent	672	1	Right	Down	g	g
169.55	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
170.04	2	Congruent	Congruent	638	1	Left	Up	y	y
173.8	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
177.28	2	Congruent	Congruent	683	1	Left	Down	y	y
185.29	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
186.28	2	Congruent	Congruent	773	1	Left	Up	y	y
192.79	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
194.02	2	Incongruent	Incongruent	789	1	Left	Down	y	y
197.54	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
198.02	2	Congruent	Congruent	696	1	Right	Down	g	g
213.03	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
215.53	2	Incongruent	Incongruent	901	1	Left	Up	y	y
218.79	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
219.53	2	Incongruent	Incongruent	856	1	Right	Down	g	g
225.04	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
231.77	2	Incongruent	Incongruent	843	1	Left	Up	y	y
241.78	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
245.28	2	Incongruent	Incongruent	1198	1	Right	Down	g	g
255.29	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
256.53	2	Congruent	Congruent	1081	1	Left	Down	y	y
264.54	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
267.02	2	Incongruent	Incongruent	905	1	Left	Down	y	y
270.79	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
271.77	2	Incongruent	Incongruent	830	1	Right	Up	g	g
274.78	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
275.27	2	Incongruent	Incongruent	835	1	Left	Up	y	y
279.28	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
286.01	2	Congruent	Congruent	706	1	Right	Up	g	g
289.53	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
290.26	2	Incongruent	Incongruent	852	1	Right	Down	g	g
295.27	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
307.27	2	Incongruent	Incongruent	984	1	Left	Down	y	y
313.78	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
315.51	2	Congruent	Congruent	794	1	Right	Up	g	g
330.52	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
335.52	2	Congruent	Congruent	687	1	Right	Up	g	g
338.79	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
339.27	2	Congruent	Congruent	912	1	Left	Down	y	y
344.78	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
345.27	2	Congruent	Congruent	679	1	Left	Up	y	y
