onset	duration	trial_type	trial_type_err	response_time	accuracy	target_dir	target_pos	correct_resp	resp
25.805	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
26.288	2	Congruent	Congruent	730	1	Left	Down	y	y
41.297	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
42.547	2	Incongruent	Incongruent	1018	1	Right	Up	g	g
49.06	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
55.807	2	Incongruent	Incongruent	743	1	Right	Up	g	g
63.819	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
66.302	2	Congruent	Congruent	607	1	Right	Down	g	g
69.816	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
70.3	2	Congruent	Congruent	750	1	Left	Up	y	y
74.314	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
75.047	2	Incongruent	Incongruent	659	1	Left	Down	y	y
85.059	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
86.792	2	Incongruent	Incongruent	586	1	Right	Up	g	g
90.056	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
91.039	2	Congruent	Congruent	636	1	Left	Up	y	y
96.053	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
101.03	2	Incongruent	Incongruent	797	1	Right	Down	g	g
104.8	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
116.79	2	Incongruent	Incongruent	663	1	Right	Up	g	g
122.31	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
122.79	2	Congruent	Congruent	494	1	Right	Down	g	g
125.81	0.2	NoCue	CueErr	n/a	n/a	n/a	n/a	n/a	n/a
129.29	2	Incongruent	TargetErr	560	0	Left	Up	y	g
133.8	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
145.79	2	Congruent	Congruent	595	1	Right	Up	g	g
150.81	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
151.29	2	Incongruent	Incongruent	741	1	Left	Down	y	y
155.81	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
160.79	2	Congruent	Congruent	637	1	Right	Down	g	g
164.8	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
166.53	2	Congruent	Congruent	640	1	Right	Down	g	g
169.55	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
170.03	2	Congruent	Congruent	642	1	Left	Up	y	y
173.8	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
177.28	2	Congruent	Congruent	661	1	Left	Down	y	y
185.29	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
186.28	2	Congruent	Congruent	760	1	Left	Up	y	y
192.79	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
194.02	2	Incongruent	Incongruent	639	1	Left	Down	y	y
197.54	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
198.02	2	Congruent	Congruent	594	1	Right	Down	g	g
213.03	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
215.53	2	Incongruent	Incongruent	711	1	Left	Up	y	y
218.79	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
219.53	2	Incongruent	Incongruent	666	1	Right	Down	g	g
225.04	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
231.77	2	Incongruent	Incongruent	921	1	Left	Up	y	y
241.78	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
245.28	2	Incongruent	Incongruent	787	1	Right	Down	g	g
255.29	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
256.52	2	Congruent	Congruent	683	1	Left	Down	y	y
264.54	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
267.02	2	Incongruent	Incongruent	703	1	Left	Down	y	y
270.78	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
271.77	2	Incongruent	Incongruent	831	1	Right	Up	g	g
274.78	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
275.26	2	Incongruent	Incongruent	724	1	Left	Up	y	y
279.28	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
286.01	2	Congruent	Congruent	588	1	Right	Up	g	g
289.52	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
290.26	2	Incongruent	Incongruent	653	1	Right	Down	g	g
295.27	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
307.26	2	Incongruent	Incongruent	801	1	Left	Down	y	y
313.78	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
315.51	2	Congruent	Congruent	649	1	Right	Up	g	g
330.52	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
335.52	2	Congruent	Congruent	689	1	Right	Up	g	g
338.78	0.2	NoCue	CueErr	n/a	n/a	n/a	n/a	n/a	n/a
339.27	2	Congruent	TargetErr	785	0	Left	Down	y	g
344.78	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
345.26	2	Congruent	Congruent	557	1	Left	Up	y	y
