onset	duration	trial_type	trial_type_err	response_time	accuracy	target_dir	target_pos	correct_resp	resp
25.816	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
26.3	2	Incongruent	Incongruent	638	1	Left	Down	y	y
41.309	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
42.558	2	Congruent	Congruent	671	1	Right	Down	g	g
49.071	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
55.818	2	Congruent	Congruent	666	1	Right	Up	g	g
63.831	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
66.313	2	Incongruent	Incongruent	931	1	Left	Up	y	y
69.828	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
70.311	2	Incongruent	Incongruent	745	1	Right	Down	g	g
74.325	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
75.058	2	Congruent	Congruent	486	1	Left	Up	y	y
85.07	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
86.803	2	Congruent	Congruent	466	1	Right	Down	g	g
90.067	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
91.05	2	Incongruent	Incongruent	864	1	Right	Up	g	g
96.064	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
101.05	2	Congruent	Congruent	841	1	Left	Up	y	y
104.81	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
116.8	2	Congruent	Congruent	711	1	Left	Down	y	y
122.32	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
122.8	2	Incongruent	Incongruent	635	1	Right	Up	g	g
125.82	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
129.3	2	Congruent	Congruent	1100	1	Left	Down	y	y
133.81	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
145.81	2	Incongruent	Incongruent	805	1	Left	Down	y	y
150.82	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
151.3	2	Congruent	Congruent	613	1	Right	Up	g	g
155.82	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
160.8	2	Incongruent	Incongruent	809	1	Right	Down	g	g
164.81	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
166.55	2	Incongruent	Incongruent	910	1	Left	Up	y	y
169.56	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
170.04	2	Incongruent	Incongruent	586	1	Right	Down	g	g
173.81	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
177.29	2	Incongruent	Incongruent	772	1	Right	Down	g	g
185.3	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
186.29	2	Incongruent	Incongruent	718	1	Left	Down	y	y
192.8	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
194.03	2	Congruent	Congruent	542	1	Left	Up	y	y
197.55	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
198.03	2	Incongruent	Incongruent	632	1	Right	Up	g	g
213.04	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
215.54	2	Congruent	Congruent	713	1	Right	Down	g	g
218.8	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
219.54	2	Congruent	Congruent	951	1	Left	Up	y	y
225.05	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
231.8	2	Congruent	Congruent	1048	1	Right	Down	g	g
241.81	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
245.31	2	Congruent	Congruent	826	1	Right	Up	g	g
255.32	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
256.55	2	Incongruent	Incongruent	800	1	Left	Down	y	y
264.56	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
267.05	2	Congruent	Congruent	1014	1	Left	Down	y	y
270.81	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
271.79	2	Congruent	Congruent	686	1	Left	Down	y	y
274.81	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
275.29	2	Congruent	Congruent	773	1	Right	Up	g	g
279.31	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
286.04	2	Incongruent	Incongruent	951	1	Left	Up	y	y
289.55	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
290.28	2	Congruent	Congruent	974	1	Right	Up	g	g
295.3	0.2	CenterCue	CueErr	n/a	n/a	n/a	n/a	n/a	n/a
307.29	2	Congruent	TargetErr	0	0	Left	Down	y	n/a
313.81	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
315.54	2	Incongruent	Incongruent	913	1	Right	Up	g	g
330.55	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
335.54	2	Incongruent	Incongruent	1441	1	Left	Up	y	y
338.81	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
339.29	2	Incongruent	Incongruent	1007	1	Left	Up	y	y
344.81	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
345.29	2	Incongruent	Incongruent	974	1	Right	Down	g	g
