onset	duration	trial_type	trial_type_err	response_time	accuracy	target_dir	target_pos	correct_resp	resp
25.831	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
26.298	2	Incongruent	Incongruent	1157	1	Left	Down	y	y
41.307	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
42.556	2	Congruent	Congruent	591	1	Left	Up	y	y
49.07	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
55.801	2	Incongruent	Incongruent	649	1	Right	Down	g	g
63.812	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
66.311	2	Incongruent	Incongruent	737	1	Right	Down	g	g
69.826	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
70.309	2	Incongruent	Incongruent	544	1	Right	Up	g	g
74.324	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
75.057	2	Congruent	Congruent	539	1	Left	Up	y	y
85.068	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
86.802	2	Congruent	Congruent	457	1	Right	Up	g	g
90.066	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
91.049	2	Incongruent	Incongruent	721	1	Left	Down	y	y
96.063	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
101.04	2	Congruent	Congruent	604	1	Left	Up	y	y
104.81	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
116.8	2	Congruent	Congruent	586	1	Left	Up	y	y
122.32	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
122.8	2	Incongruent	Incongruent	666	1	Right	Up	g	g
125.81	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
129.3	2	Incongruent	Incongruent	583	1	Left	Up	y	y
133.81	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
145.81	2	Congruent	Congruent	558	1	Left	Down	y	y
150.82	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
151.3	2	Congruent	Congruent	447	1	Right	Up	g	g
155.82	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
160.8	2	Incongruent	Incongruent	555	1	Right	Down	g	g
164.81	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
166.54	2	Incongruent	Incongruent	553	1	Right	Up	g	g
169.56	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
170.04	2	Incongruent	Incongruent	647	1	Left	Up	y	y
173.81	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
177.29	2	Congruent	Congruent	640	1	Left	Down	y	y
185.3	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
186.28	2	Congruent	Congruent	682	1	Right	Down	g	g
192.8	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
194.03	2	Congruent	Congruent	601	1	Right	Down	g	g
197.55	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
198.03	2	Congruent	Congruent	564	1	Right	Up	g	g
213.04	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
215.54	2	Incongruent	Incongruent	794	1	Left	Up	y	y
218.8	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
219.53	2	Incongruent	Incongruent	1037	1	Left	Down	y	y
225.05	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
231.79	2	Congruent	Congruent	806	1	Right	Down	g	g
241.81	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
245.31	2	Incongruent	Incongruent	686	1	Right	Down	g	g
255.32	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Up	n/a	n/a
256.55	2	Incongruent	Incongruent	793	1	Left	Up	y	y
264.56	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
267.05	2	Incongruent	Incongruent	905	1	Right	Up	g	g
270.81	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
271.79	2	Congruent	Congruent	752	1	Right	Down	g	g
274.81	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
275.29	2	Congruent	Congruent	652	1	Left	Down	y	y
279.31	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
286.04	2	Incongruent	Incongruent	977	1	Right	Up	g	g
289.55	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
290.28	2	Congruent	Congruent	591	1	Left	Down	y	y
295.3	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
307.29	2	Congruent	Congruent	668	1	Right	Down	g	g
313.8	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
315.54	2	Congruent	Congruent	796	1	Left	Up	y	y
330.55	0.2	SpatialCue	SpatialCue	n/a	n/a	n/a	Down	n/a	n/a
335.54	2	Incongruent	Incongruent	752	1	Left	Down	y	y
338.81	0.2	CenterCue	CenterCue	n/a	n/a	n/a	n/a	n/a	n/a
339.29	2	Congruent	Congruent	532	1	Right	Up	g	g
344.81	0.2	NoCue	NoCue	n/a	n/a	n/a	n/a	n/a	n/a
345.29	2	Incongruent	Incongruent	1195	1	Left	Down	y	y
